AssetTag,Description,Status,CavityCode,MacolaPart,PartName
DM0109,"6MA Cam Holder 1,5, C",W,a,652-090,6MAA HOLDCOMP NO1 INTAKE (DC)
DM0109,"6MA Cam Holder 1,5, C",W,b,656-090,6MAA HOLDCOMP NO5 INTAKE (DC)
DM0109,"6MA Cam Holder 1,5, C",W,c,657-090,6MAA HOLDCOMP NO1 EXHAUST (DC)
DM0109,"6MA Cam Holder 1,5, C",W,d,661-090,6MAA HOLDCOMP NO5 EXHAUST (DC)
DM0110,"6MA Cam Holder 2,3,4 C",W,a,653-090,6MAA HOLDCOMP NO2 INTAKE (DC)
DM0110,"6MA Cam Holder 2,3,4 C",W,b,654-090,6MAA HOLDCOMP NO3 INTAKE (DC)
DM0110,"6MA Cam Holder 2,3,4 C",W,c,655-090,6MAA HOLDCOMP NO4 INTAKE (DC)
DM0110,"6MA Cam Holder 2,3,4 C",W,d,658-090,6MAA HOLDCOMP NO2 EXHAUST (DC)
DM0110,"6MA Cam Holder 2,3,4 C",W,e,659-090,6MAA HOLDCOMP NO3 EXHAUST (DC)
DM0110,"6MA Cam Holder 2,3,4 C",W,f,660-090,6MAA HOLDCOMP NO4 EXHAUST (DC)
DM0111,RPY rocker shaft #1  J,W,a,135-090,RPY Holder Comp No 1 Rkr Shaft
DM0112,"RPY Rocker shaft 2,3,4 J",W,a,136-090,RPY Holder Comp No 2 Rkr Shaft
DM0112,"RPY Rocker shaft 2,3,4 J",W,b,137-090,RPY Holder Comp No 3 Rkr Shaft
DM0112,"RPY Rocker shaft 2,3,4 J",W,c,138-090,RPY Holder Comp No 4 Rkr Shaft
DM0113,"RPY Cam Holder Ex Lower 1,2,3,4 die H",W,a,131-090,RPY Holder Comp No 1 Exh Cam Lwr
DM0113,"RPY Cam Holder Ex Lower 1,2,3,4 die H",W,b,132-090,RPY Holder Comp No 2 Exh Cam Lwr
DM0113,"RPY Cam Holder Ex Lower 1,2,3,4 die H",W,c,133-090,RPY Holder Comp No 3 Exh Cam Lwr
DM0113,"RPY Cam Holder Ex Lower 1,2,3,4 die H",W,d,134-090,RPY Holder Comp No 4 Exh Cam Lwr
DM0114,"RPY Cam Holder Ex 1,2,3,4 die H",W,a,125-090,RPY Holder Comp No 1 Ex Cam
DM0114,"RPY Cam Holder Ex 1,2,3,4 die H",W,b,126-090,RPY Holder Comp No 2 Ex Cam
DM0114,"RPY Cam Holder Ex 1,2,3,4 die H",W,c,127-090,RPY Holder Comp No 3 Ex Cam
DM0114,"RPY Cam Holder Ex 1,2,3,4 die H",W,d,128-090,RPY Holder Comp No 4 Ex Cam
DM0115,Astemo Inner Housing die A,W,a,683-090,Inner Housing
DM0116,Astemo Inverter Cover Single die A,W,a,681-090,Cover Inverter Single
DM0117,Astemo Intermediate Case Single die A,W,a,679-090,CASE COMP INTERMEDIATE SINGLE
DM0118,5J6-1 Oil Pan die M,W,a,155-090,5J6-1 OIL PAN     DC
DM0119,6FB oil Pan C,W,a,646-090,6FB Oil Pan
DM0120,6FB oil Pan Cover Insert #2 C Die,W,a,646-090,6FB Oil Pan
DM0121,6MDW Intake Manifold Plate Die B,W,a,674-090,6MD Intake Manifold
DM0122,5Ba Rocker Shaft #5 N,W,a,140-090,5BAA Holder Comp #5 R/S
DM0123,6FB Cam Holder #1 B,W,a,644-090,"6FB Holder Comp, No 1 Cam R"
DM0124,"6MA Cam Holder #1,5 die D",W,a,652-090,6MAA HOLDCOMP NO1 INTAKE (DC)
DM0124,"6MA Cam Holder #1,5 die D",W,b,656-090,6MAA HOLDCOMP NO5 INTAKE (DC)
DM0124,"6MA Cam Holder #1,5 die D",W,c,657-090,6MAA HOLDCOMP NO1 EXHAUST (DC)
DM0124,"6MA Cam Holder #1,5 die D",W,d,661-090,6MAA HOLDCOMP NO5 EXHAUST (DC)
DM0125,"6MA Cam Holder #2,3,4 die D",W,a,653-090,6MAA HOLDCOMP NO2 INTAKE (DC)
