Id,Name,Description,MaterialClass,IsFinishedGood,IsSupplyPart,Weight,Uom,SortRecipeNumber,CountryOfOrigin
278,11203-PWA-0031,17.8 X 2.4 O-RING,6C2/6MA Components,0,1,NULL,NULL,NULL,NULL
277,11221-5R0-0000,"PLATE, BAFFLE",6C2/6MA Components,0,1,NULL,NULL,NULL,NULL
374,900009-R70-A000,Drain Plug Bolt,6C2/6MA Components,0,1,NULL,NULL,NULL
375,91302-RZP-0000,23 x 2.3 O-Ring,6C2/6MA Components,0,1,NULL,NULL,NULL,NULL
359,11200-6FBA,"PAN, OIL",6FB Components,0,0,NULL,NULL,NULL
342,12235-6FBA-A000,6FB OIL PASS RAW,6FB Components,0,0,1.000,Pound,NULL,US
343,12431-6FBA-A000,6FB NO 1 CAM HOLDER  RAW,6FB Components,0,0,1.000,Pound,NULL,US
308,12231-6MA-0000,Intake #1,6MA Components,0,0,NULL,NULL,NULL
309,12232-6MA-0000,Intake #2,6MA Components,0,0,NULL,NULL,NULL
310,12233-6MA-0000,Intake #3,6MA Components,0,0,NULL,NULL,NULL
311,12234-6MA-0000,Intake #4,6MA Components,0,0,NULL,NULL,NULL
312,12235-6MA-0000,Intake #5,6MA Components,0,0,NULL,NULL,NULL
313,12241-6MA-0000,Exhaust #1,6MA Components,0,0,NULL,NULL,NULL
314,12242-6MA-0000,Exhaust #2,6MA Components,0,0,NULL,NULL,NULL
315,12243-6MA-0000,Exhaust #3,6MA Components,0,0,NULL,NULL,NULL
316,12244-6MA-0000,Exhaust #4,6MA Components,0,0,NULL,NULL,NULL
317,12245-6MA-0000,Exhaust #5,6MA Components,0,0,NULL,NULL,NULL
307,90701-5A2A-A00,9x14 Dowel Pin,6MA Components,0,1,NULL,NULL,NULL
391,17145-6MD,6MD Int Manifold Plate RAW,6MD Components,0,0,1.300,Pound,NULL
392,17145-6MD -A000*,6MD Int Manifold Plate ,6MD Finished Goods,0,0,1.300,Pound,NULL,US
442,0078-9040 ,Single Cover,Astemo Components,0,0,NULL,NULL,NULL,us
443,0079-0060,Single Case,Astemo Components,0,0,NULL,NULL,NULL,us
440,0079-2020,Inner Housing,Astemo Components,0,0,10.500,Pound,NULL,us
445,0080-5010,Dual Cover,Astemo Components,0,0,NULL,NULL,NULL,US
447,0080-6010,Dual Case,Astemo Components,0,0,NULL,NULL,NULL,us
441,6620-0078-9040  ,Single Cover,Astemo Finished Goods,0,0,1.000,Pound,NULL,US
444,6620-0079-0060,Single Case,Astemo Finished Goods,0,0,1.000,Pound,NULL,us
439,6620-0079-2020,Inner Housing,Astemo Finished Goods,0,0,1.000,Pound,1,us
446,6620-0080-5010,Dual Cover,Astemo Finished Goods,0,0,1.000,Pound,NULL,US
448,6620-0080-6010,Dual Case,Astemo Finished Goods,0,0,1.000,Pound,NULL,US
232,11200-5J6 RAW,5J6-1 OIL PAN RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
233,11200-5MH RAW,5MH OIL PAN RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
240,11200-P8A ,P8A OIL PAN RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
241,11200-PGE,PGE OIL PAN RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
237,11200-RDJ,RDJ OIL PAN RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
