Line	Task	Event	EventID	EventTrigger	TriggerArg1	TriggerArg2	EventServer	EventAccessPath	EventItem	ReactOnStartup	Step	Action	Kind	ActionServer	ActionAccessPath	ActionItem	ScriptID	Active
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	1100	Reset Transaction In Process	WRITE	TOP Server		5G0_A1.5G0_A1.TransInProc	NULL	1
5G0 - Line 1	Assembly 1	400 - Process Part	67	EQ	1		TOP Server		5G0_A1.5G0_A1.PartComplete	0	1200	Reset Part Complete	WRITE	TOP Server		5G0_A1.5G0_A1.PartComplete	NULL	1
5G0 - Line 2	Assembly 2	003 - Container Count Request	72	EQ	1		TOP Server		5G0_A2.5G0_A2.ContainerCountRequest	0	200	Get Container Count	SCRIPT	NULL	NULL	NULL	229	1
5G0 - Line 2	Assembly 2	003 - Container Count Request	72	EQ	1		TOP Server		5G0_A2.5G0_A2.ContainerCountRequest	0	1005	Set Container Count	WRITE	TOP Server		5G0_A2.5G0_A2.ContainerCount	NULL	1
5G0 - Line 2	Assembly 2	003 - Container Count Request	72	EQ	1		TOP Server		5G0_A2.5G0_A2.ContainerCountRequest	0	1010	Reset Container Count Request	WRITE	TOP Server		5G0_A2.5G0_A2.ContainerCountRequest	NULL	1
5G0 - Line 2	Assembly 2	200 - Data Ready	73	EQ	1		TOP Server		5G0_A2.5G0_A2.DataReady	0	10	Reset Data Ready	WRITE	TOP Server		5G0_A2.5G0_A2.DataReady	NULL	1
5G0 - Line 2	Assembly 2	200 - Data Ready	73	EQ	1		TOP Server		5G0_A2.5G0_A2.DataReady	0	15	Read Container Count	READ	TOP Server		5G0_A2.5G0_A2.ContainerCount	NULL	1
5G0 - Line 2	Assembly 2	200 - Data Ready	73	EQ	1		TOP Server		5G0_A2.5G0_A2.DataReady	0	20	Set Transaction In Process	WRITE	TOP Server		5G0_A2.5G0_A2.TransInProc	NULL	1
5G0 - Line 2	Assembly 2	200 - Data Ready	73	EQ	1		TOP Server		5G0_A2.5G0_A2.DataReady	0	30	Check Container Count	SCRIPT	NULL	NULL	NULL	232	1
5G0 - Line 2	Assembly 2	200 - Data Ready	73	EQ	1		TOP Server		5G0_A2.5G0_A2.DataReady	0	40	Set Part Complete	WRITE	TOP Server		5G0_A2.5G0_A2.PartComplete	NULL	1
